1,0,0,0:0.1000:1,16,0.8433,0.0593,0.7933,0.0616
1,0,0,0:0.1000:1,4,0.8217,0.0373,0.7850,0.0598
1,0,0,0:0.1000:1,6,0.8267,0.0517,0.7983,0.0669
1,0,0,0:0.1000:1,8,0.8333,0.0494,0.8017,0.0550
1,0,0,0:0.1000:1,10,0.8600,0.0490,0.7983,0.0660
1,0,0,0:0.1000:1,12,0.8567,0.0501,0.7983,0.0580
1,0,0,0:0.1000:1,14,0.8567,0.0523,0.7983,0.0652
1,0,0,0:0.1000:1,18,0.8533,0.0458,0.8067,0.0583
1,0,0,0:0.1000:1,20,0.8533,0.0470,0.7967,0.0542
1,0,0,0:0.0500:1,4,0.8367,0.0482,0.7983,0.0519
1,0,0,0:0.0500:1,6,0.8350,0.0456,0.8050,0.0619
1,0,0,0:0.0500:1,8,0.8417,0.0467,0.7983,0.0444
1,0,0,0:0.0500:1,10,0.8550,0.0395,0.8000,0.0428
1,0,0,0:0.0500:1,12,0.8517,0.0570,0.8117,0.0563
1,0,0,0:0.0500:1,14,0.8633,0.0515,0.8033,0.0531
1,0,0,0:0.0500:1,16,0.8500,0.0543,0.8083,0.0611
1,0,0,0:0.0500:1,18,0.8617,0.0334,0.8167,0.0522
1,0,0,0:0.0500:1,20,0.8567,0.0528,0.8183,0.0486
0,1,0,0:0.1000:1,4,0.8483,0.0565,0.7983,0.0529
0,1,0,0:0.1000:1,6,0.8633,0.0657,0.8167,0.0527
0,1,0,0:0.1000:1,8,0.8533,0.0542,0.8283,0.0366
0,1,0,0:0.1000:1,10,0.8617,0.0435,0.8317,0.0391
0,1,0,0:0.1000:1,12,0.8650,0.0529,0.8183,0.0411
0,1,0,0:0.1000:1,14,0.8700,0.0488,0.8300,0.0562
0,1,0,0:0.1000:1,16,0.8800,0.0499,0.8250,0.0611
0,1,0,0:0.1000:1,18,0.8783,0.0366,0.8333,0.0465
0,1,0,0:0.1000:1,20,0.8767,0.0490,0.8300,0.0526
0,1,0,0:0.0500:1,4,0.8667,0.0582,0.8167,0.0435
0,1,0,0:0.0500:1,6,0.8667,0.0543,0.8300,0.0536
0,1,0,0:0.0500:1,8,0.8800,0.0386,0.8283,0.0415
0,1,0,0:0.0500:1,10,0.8733,0.0496,0.8350,0.0519
0,1,0,0:0.0500:1,12,0.8917,0.0583,0.8367,0.0482
0,1,0,0:0.0500:1,14,0.8817,0.0529,0.8433,0.0442
0,1,0,0:0.0500:1,16,0.8783,0.0527,0.8333,0.0650
0,1,0,0:0.0500:1,18,0.8817,0.0550,0.8333,0.0606
0,1,0,0:0.0500:1,20,0.8817,0.0468,0.8400,0.0544
1,1,0,0:0.1000:1,4,0.8617,0.0628,0.8267,0.0606
1,1,0,0:0.1000:1,6,0.8783,0.0578,0.8483,0.0550
1,1,0,0:0.1000:1,8,0.8800,0.0576,0.8300,0.0510
1,1,0,0:0.1000:1,10,0.8817,0.0480,0.8333,0.0516
1,1,0,0:0.1000:1,12,0.8833,0.0350,0.8267,0.0597
1,1,0,0:0.1000:1,14,0.8750,0.0417,0.8317,0.0535
1,1,0,0:0.1000:1,16,0.8883,0.0415,0.8317,0.0497
1,1,0,0:0.1000:1,18,0.8817,0.0361,0.8417,0.0534
1,1,0,0:0.1000:1,20,0.8750,0.0449,0.8450,0.0646
1,1,0,0:0.0500:1,4,0.8733,0.0651,0.8317,0.0603
1,1,0,0:0.0500:1,6,0.8917,0.0443,0.8467,0.0379
1,1,0,0:0.0500:1,8,0.8917,0.0417,0.8517,0.0361
1,1,0,0:0.0500:1,10,0.8983,0.0383,0.8517,0.0529
1,1,0,0:0.0500:1,12,0.8850,0.0462,0.8467,0.0581
1,1,0,0:0.0500:1,14,0.8917,0.0396,0.8600,0.0517
1,1,0,0:0.0500:1,16,0.8833,0.0428,0.8550,0.0460
1,1,0,0:0.0500:1,18,0.8933,0.0507,0.8500,0.0619
1,1,0,0:0.0500:1,20,0.8817,0.0418,0.8517,0.0560
1,1,0,0:0.0333:1,4,0.8800,0.0623,0.8483,0.0545
1,1,0,0:0.0333:1,6,0.8950,0.0548,0.8683,0.0450
1,1,0,0:0.0333:1,8,0.8867,0.0470,0.8567,0.0382
1,1,0,0:0.0333:1,10,0.8883,0.0415,0.8600,0.0533
1,1,0,0:0.0333:1,12,0.8817,0.0391,0.8533,0.0552
0,0,1,0:0.1000:1,4,0.5750,0.0620,0.4083,0.0423
0,0,1,0:0.1000:1,6,0.5750,0.0544,0.4167,0.0394
0,0,1,0:0.1000:1,8,0.5900,0.0501,0.4367,0.0521
0,0,1,0:0.1000:1,10,0.5833,0.0506,0.4617,0.0489
0,0,1,0:0.1000:1,12,0.5900,0.0533,0.4700,0.0433
0,0,1,0:0.1000:1,14,0.5917,0.0518,0.4683,0.0444
0,0,1,0:0.1000:1,16,0.5883,0.0522,0.4783,0.0478
0,0,1,0:0.1000:1,18,0.5900,0.0501,0.4883,0.0395
0,0,1,0:0.1000:1,20,0.5900,0.0501,0.4933,0.0436
1,1,0,0:0.0333:1,14,0.8900,0.0374,0.8617,0.0687
1,1,0,0:0.0333:1,16,0.8867,0.0427,0.8667,0.0563
1,1,0,0:0.0333:1,18,0.8867,0.0332,0.8700,0.0531
1,1,0,0:0.0333:1,20,0.8850,0.0425,0.8650,0.0560
1,1,1,0:0.1000:1,4,0.8850,0.0497,0.8333,0.0494
1,1,1,0:0.1000:1,6,0.8700,0.0542,0.8233,0.0429
1,1,1,0:0.1000:1,8,0.8683,0.0513,0.8417,0.0389
1,1,1,0:0.1000:1,10,0.8867,0.0493,0.8417,0.0523
1,1,1,0:0.1000:1,12,0.8950,0.0454,0.8467,0.0433
1,1,1,0:0.1000:1,14,0.8883,0.0422,0.8550,0.0646
1,1,1,0:0.1000:1,16,0.8950,0.0366,0.8533,0.0531
1,1,1,0:0.1000:1,18,0.8917,0.0443,0.8617,0.0582
1,1,1,0:0.1000:1,20,0.8900,0.0490,0.8567,0.0597
1,1,1,0:0.0500:1,4,0.8750,0.0501,0.8483,0.0411
1,1,1,0:0.0500:1,6,0.8867,0.0464,0.8350,0.0480
1,1,1,0:0.0500:1,8,0.8883,0.0259,0.8483,0.0345
1,1,1,0:0.0500:1,10,0.8900,0.0416,0.8400,0.0455
1,1,1,0:0.0500:1,12,0.8950,0.0373,0.8517,0.0560
1,1,1,0:0.0500:1,14,0.9000,0.0365,0.8600,0.0423
1,1,1,0:0.0500:1,16,0.8867,0.0452,0.8667,0.0558
1,1,1,0:0.0500:1,18,0.8883,0.0478,0.8567,0.0588
1,1,1,0:0.0500:1,20,0.8783,0.0489,0.8600,0.0578
1,0,1,0:0.1000:1,4,0.8400,0.0583,0.8183,0.0491
1,0,1,0:0.1000:1,6,0.8650,0.0565,0.8183,0.0361
1,0,1,0:0.1000:1,8,0.8600,0.0448,0.8100,0.0436
1,0,1,0:0.1000:1,10,0.8767,0.0260,0.8183,0.0383
1,0,1,0:0.1000:1,12,0.8600,0.0382,0.8283,0.0500
1,0,1,0:0.1000:1,14,0.8633,0.0476,0.8217,0.0454
1,0,1,0:0.1000:1,16,0.8800,0.0348,0.8283,0.0279
1,0,1,0:0.1000:1,18,0.8767,0.0410,0.8333,0.0422
1,0,1,0:0.1000:1,20,0.8767,0.0461,0.8417,0.0359
1,0,1,0:0.0500:1,4,0.8500,0.0527,0.8050,0.0435
1,0,1,0:0.0500:1,6,0.8650,0.0529,0.8167,0.0387
1,0,1,0:0.0500:1,8,0.8650,0.0337,0.8350,0.0345
1,0,1,0:0.0500:1,10,0.8750,0.0318,0.8317,0.0450
1,0,1,0:0.0500:1,12,0.8833,0.0415,0.8367,0.0464
1,0,1,0:0.0500:1,14,0.8733,0.0429,0.8217,0.0441
1,0,1,0:0.0500:1,16,0.8683,0.0524,0.8400,0.0501
1,0,1,0:0.0500:1,18,0.8667,0.0522,0.8333,0.0553
1,0,1,0:0.0500:1,20,0.8633,0.0452,0.8217,0.0517
0,1,1,0:0.1000:1,4,0.8300,0.0562,0.8100,0.0281
0,1,1,0:0.1000:1,6,0.8717,0.0578,0.8367,0.0332
0,1,1,0:0.1000:1,8,0.8650,0.0570,0.8250,0.0417
0,1,1,0:0.1000:1,10,0.8783,0.0422,0.8333,0.0477
0,1,1,0:0.1000:1,12,0.8700,0.0306,0.8383,0.0454
0,1,1,0:0.1000:1,14,0.8883,0.0342,0.8483,0.0502
0,1,1,0:0.1000:1,16,0.8867,0.0407,0.8500,0.0548
0,1,1,0:0.1000:1,18,0.8800,0.0364,0.8383,0.0495
0,1,1,0:0.1000:1,20,0.8800,0.0452,0.8433,0.0496
1,0,0,10,4,0.8133,0.0348,0.7800,0.0547
1,1,0,50,4,0.8933,0.0473,0.8517,0.0598
0,0,1,10,4,0.3583,0.0743,0.3417,0.0790
0,0,1,10,4,0.8483,0.0376,0.7867,0.0340
0,0,1,10,4,0.8483,0.0376,0.7867,0.0340
0,0,1,30,4,0.8850,0.0252,0.8400,0.0309
1,1,1,40,14,0.8767,0.0429,0.8567,0.0478
1,1,1,30,14,0.8950,0.0373,0.8617,0.0478
