d,f,c,thre_inc,n_modes,n_fvs,svm_acc,svm_std,lda_acc,lda_std
0,0,1,10,4,76,0.8483,0.0376,0.7867,0.0340
0,0,1,20,4,156,0.8783,0.0388,0.8117,0.0454
0,0,1,25,4,196,0.8683,0.0383,0.8083,0.0467
0,0,1,30,4,236,0.8783,0.0248,0.8400,0.0309
0,0,1,35,4,276,0.8800,0.0233,0.8333,0.0365
0,0,1,40,4,316,0.8600,0.0291,0.8333,0.0316
0,0,1,45,4,356,0.8817,0.0302,0.8283,0.0279
0,0,1,50,4,396,0.8733,0.0327,0.8350,0.0383
0,0,1,55,4,436,0.8817,0.0376,0.8350,0.0252
0,0,1,60,4,476,0.8683,0.0311,0.8433,0.0281
0,0,1,65,4,516,0.8617,0.0395,0.8167,0.0428
0,0,1,70,4,556,0.8750,0.0396,0.8350,0.0383
0,0,1,10,6,114,0.8800,0.0364,0.8200,0.0245
0,0,1,20,6,234,0.8733,0.0429,0.8433,0.0429
0,0,1,25,6,294,0.8567,0.0309,0.8367,0.0296
0,0,1,30,6,354,0.8817,0.0283,0.8367,0.0314
0,0,1,35,6,414,0.8750,0.0479,0.8400,0.0300
0,0,1,40,6,474,0.8683,0.0425,0.8383,0.0388
0,0,1,45,6,534,0.8767,0.0416,0.8300,0.0332
0,0,1,50,6,594,0.8783,0.0380,0.8450,0.0422
0,0,1,55,6,654,0.8717,0.0460,0.8400,0.0335
0,0,1,60,6,714,0.8883,0.0358,0.8517,0.0391
0,0,1,65,6,774,0.8783,0.0358,0.8350,0.0376
0,0,1,70,6,834,0.8817,0.0263,0.8400,0.0249
0,0,1,10,8,152,0.8850,0.0361,0.8300,0.0427
0,0,1,20,8,312,0.8683,0.0404,0.8483,0.0302
0,0,1,25,8,392,0.8683,0.0502,0.8400,0.0226
0,0,1,30,8,472,0.8783,0.0415,0.8600,0.0403
0,0,1,35,8,552,0.8617,0.0380,0.8450,0.0325
0,0,1,40,8,632,0.8667,0.0342,0.8383,0.0317
0,0,1,45,8,712,0.8683,0.0337,0.8433,0.0389
0,0,1,50,8,792,0.8667,0.0350,0.8483,0.0383
0,0,1,55,8,872,0.8650,0.0545,0.8533,0.0371
0,0,1,60,8,952,0.8683,0.0311,0.8500,0.0401
0,0,1,65,8,1032,0.8517,0.0513,0.8500,0.0380
0,0,1,70,8,1112,0.8700,0.0433,0.8533,0.0407
0,0,1,10,10,190,0.8783,0.0342,0.8450,0.0325
0,0,1,20,10,390,0.8883,0.0415,0.8550,0.0289
0,0,1,25,10,490,0.8867,0.0531,0.8517,0.0337
0,0,1,30,10,590,0.8750,0.0396,0.8650,0.0345
0,0,1,35,10,690,0.8617,0.0422,0.8533,0.0332
0,0,1,40,10,790,0.8600,0.0396,0.8550,0.0373
0,0,1,45,10,890,0.8517,0.0450,0.8450,0.0334
0,0,1,50,10,990,0.8583,0.0461,0.8617,0.0366
0,0,1,55,10,1090,0.8533,0.0306,0.8617,0.0415
0,0,1,60,10,1190,0.8750,0.0335,0.8583,0.0261
0,0,1,65,10,1290,0.8667,0.0527,0.8617,0.0388
0,0,1,70,10,1390,0.8550,0.0435,0.8533,0.0379
0,0,1,10,12,228,0.8800,0.0386,0.8517,0.0273
0,0,1,20,12,468,0.8967,0.0356,0.8617,0.0198
0,0,1,25,12,588,0.9000,0.0471,0.8500,0.0401
0,0,1,30,12,708,0.8750,0.0335,0.8650,0.0398
0,0,1,35,12,828,0.8550,0.0448,0.8700,0.0464
0,0,1,40,12,948,0.8717,0.0317,0.8650,0.0293
0,0,1,45,12,1068,0.8683,0.0217,0.8583,0.0310
0,0,1,50,12,1188,0.8717,0.0548,0.8717,0.0259
0,0,1,55,12,1308,0.8500,0.0477,0.8633,0.0356
0,0,1,60,12,1428,0.8667,0.0298,0.8617,0.0415
0,0,1,65,12,1548,0.8633,0.0364,0.8667,0.0350
0,0,1,70,12,1668,0.8567,0.0573,0.8550,0.0435
0,0,1,10,14,266,0.8817,0.0411,0.8517,0.0383
0,0,1,20,14,546,0.8900,0.0403,0.8633,0.0356
0,0,1,25,14,686,0.8717,0.0460,0.8567,0.0309
0,0,1,30,14,826,0.8767,0.0382,0.8650,0.0345
0,0,1,35,14,966,0.8700,0.0427,0.8700,0.0364
0,0,1,40,14,1106,0.8800,0.0314,0.8683,0.0376
0,0,1,45,14,1246,0.8667,0.0269,0.8600,0.0238
0,0,1,50,14,1386,0.8600,0.0496,0.8633,0.0314
0,0,1,55,14,1526,0.8750,0.0250,0.8583,0.0375
0,0,1,60,14,1666,0.8633,0.0296,0.8700,0.0452
0,0,1,65,14,1806,0.8650,0.0418,0.8583,0.0455
0,0,1,70,14,1946,0.8483,0.0580,0.8700,0.0356
0,0,1,10,16,304,0.8817,0.0462,0.8517,0.0361
0,0,1,20,16,624,0.9033,0.0379,0.8567,0.0327
0,0,1,25,16,784,0.8800,0.0440,0.8633,0.0306
0,0,1,30,16,944,0.8800,0.0499,0.8583,0.0359
0,0,1,35,16,1104,0.8683,0.0450,0.8733,0.0374
0,0,1,40,16,1264,0.8767,0.0300,0.8683,0.0391
0,0,1,45,16,1424,0.8800,0.0356,0.8633,0.0323
0,0,1,50,16,1584,0.8733,0.0448,0.8650,0.0320
0,0,1,55,16,1744,0.8700,0.0356,0.8617,0.0299
0,0,1,60,16,1904,0.8767,0.0351,0.8667,0.0380
0,0,1,65,16,2064,0.8783,0.0224,0.8717,0.0435
0,0,1,70,16,2224,0.8583,0.0554,0.8683,0.0337
0,0,1,10,18,342,0.8883,0.0325,0.8567,0.0367
0,0,1,20,18,702,0.8850,0.0320,0.8650,0.0411
0,0,1,25,18,882,0.8783,0.0506,0.8733,0.0403
0,0,1,30,18,1062,0.8850,0.0418,0.8583,0.0352
0,0,1,35,18,1242,0.8700,0.0407,0.8667,0.0415
0,0,1,40,18,1422,0.8800,0.0277,0.8750,0.0327
0,0,1,45,18,1602,0.8900,0.0260,0.8650,0.0320
0,0,1,50,18,1782,0.8850,0.0502,0.8633,0.0332
0,0,1,55,18,1962,0.8800,0.0332,0.8700,0.0393
0,0,1,60,18,2142,0.8850,0.0431,0.8733,0.0343
0,0,1,65,18,2322,0.8833,0.0350,0.8650,0.0353
0,0,1,70,18,2502,0.8550,0.0573,0.8683,0.0468
0,0,1,10,20,380,0.8900,0.0374,0.8533,0.0393
0,0,1,20,20,780,0.8983,0.0411,0.8700,0.0306
0,0,1,25,20,980,0.8850,0.0273,0.8750,0.0310
0,0,1,30,20,1180,0.9033,0.0233,0.8783,0.0308
0,0,1,35,20,1380,0.8750,0.0335,0.8700,0.0364
0,0,1,40,20,1580,0.8850,0.0311,0.8733,0.0271
0,0,1,45,20,1780,0.8900,0.0309,0.8767,0.0249
0,0,1,50,20,1980,0.8867,0.0470,0.8767,0.0367
0,0,1,55,20,2180,0.8883,0.0279,0.8617,0.0380
0,0,1,60,20,2380,0.8783,0.0395,0.8650,0.0383
0,0,1,65,20,2580,0.8767,0.0448,0.8717,0.0248
0,0,1,70,20,2780,0.8700,0.0488,0.8633,0.0332
0,0,1,10,22,418,0.8850,0.0345,0.8550,0.0342
0,0,1,20,22,858,0.8917,0.0410,0.8633,0.0356
0,0,1,25,22,1078,0.8983,0.0229,0.8700,0.0340
0,0,1,30,22,1298,0.8833,0.0316,0.8750,0.0271
0,0,1,35,22,1518,0.8800,0.0356,0.8700,0.0371
0,0,1,40,22,1738,0.8767,0.0416,0.8750,0.0300
0,0,1,45,22,1958,0.8867,0.0323,0.8717,0.0308
0,0,1,50,22,2178,0.8917,0.0461,0.8583,0.0359
0,0,1,55,22,2398,0.8767,0.0389,0.8667,0.0298
0,0,1,60,22,2618,0.8883,0.0289,0.8767,0.0403
0,0,1,65,22,2838,0.8817,0.0404,0.8800,0.0314
0,0,1,70,22,3058,0.8650,0.0391,0.8733,0.0238
0,0,1,10,24,456,0.8867,0.0364,0.8567,0.0374
0,0,1,20,24,936,0.8900,0.0455,0.8667,0.0350
0,0,1,25,24,1176,0.8933,0.0291,0.8700,0.0277
0,0,1,30,24,1416,0.8967,0.0287,0.8800,0.0348
0,0,1,35,24,1656,0.8833,0.0415,0.8717,0.0325
0,0,1,40,24,1896,0.8800,0.0433,0.8717,0.0454
0,0,1,45,24,2136,0.8850,0.0398,0.8783,0.0259
0,0,1,50,24,2376,0.8883,0.0478,0.8683,0.0283
0,0,1,55,24,2616,0.8850,0.0431,0.8667,0.0289
0,0,1,60,24,2856,0.8867,0.0256,0.8850,0.0252
0,0,1,65,24,3096,0.8883,0.0366,0.8767,0.0213
0,0,1,70,24,3336,0.8800,0.0364,0.8783,0.0342
0,1,0,10,4,76,0.8067,0.0389,0.7700,0.0547
0,1,0,20,4,156,0.8367,0.0482,0.7983,0.0519
0,1,0,25,4,196,0.8317,0.0468,0.7933,0.0523
0,1,0,30,4,236,0.8333,0.0465,0.8033,0.0690
0,1,0,35,4,276,0.8433,0.0578,0.8050,0.0587
0,1,0,40,4,316,0.8467,0.0600,0.7950,0.0578
0,1,0,45,4,356,0.8367,0.0591,0.8083,0.0607
0,1,0,50,4,396,0.8367,0.0591,0.8083,0.0507
0,1,0,55,4,436,0.8383,0.0489,0.8083,0.0607
0,1,0,60,4,476,0.8400,0.0588,0.8050,0.0637
0,1,0,65,4,516,0.8417,0.0680,0.8100,0.0523
0,1,0,70,4,556,0.8333,0.0632,0.8233,0.0624
0,1,0,10,6,114,0.8250,0.0544,0.7950,0.0663
0,1,0,20,6,234,0.8333,0.0447,0.8083,0.0588
0,1,0,25,6,294,0.8433,0.0473,0.8033,0.0536
0,1,0,30,6,354,0.8517,0.0497,0.8083,0.0539
0,1,0,35,6,414,0.8433,0.0478,0.8100,0.0533
0,1,0,40,6,474,0.8433,0.0517,0.8033,0.0515
0,1,0,45,6,534,0.8417,0.0559,0.8233,0.0533
0,1,0,50,6,594,0.8400,0.0501,0.8133,0.0379
0,1,0,55,6,654,0.8400,0.0436,0.8050,0.0500
0,1,0,60,6,714,0.8383,0.0435,0.8150,0.0612
0,1,0,65,6,774,0.8383,0.0422,0.8300,0.0414
0,1,0,70,6,834,0.8450,0.0495,0.8367,0.0605
0,1,0,10,8,152,0.8450,0.0543,0.8017,0.0669
0,1,0,20,8,312,0.8417,0.0436,0.8017,0.0468
0,1,0,25,8,392,0.8567,0.0484,0.7983,0.0391
0,1,0,30,8,472,0.8417,0.0430,0.8017,0.0480
0,1,0,35,8,552,0.8367,0.0476,0.7983,0.0450
0,1,0,40,8,632,0.8367,0.0552,0.8017,0.0529
0,1,0,45,8,712,0.8433,0.0593,0.8117,0.0435
0,1,0,50,8,792,0.8517,0.0589,0.8100,0.0396
0,1,0,55,8,872,0.8517,0.0570,0.8067,0.0583
0,1,0,60,8,952,0.8433,0.0490,0.8233,0.0423
0,1,0,65,8,1032,0.8500,0.0601,0.8233,0.0507
0,1,0,70,8,1112,0.8567,0.0512,0.8333,0.0522
0,1,0,10,10,190,0.8567,0.0490,0.7933,0.0684
0,1,0,20,10,390,0.8433,0.0507,0.8033,0.0547
0,1,0,25,10,490,0.8417,0.0443,0.8033,0.0464
0,1,0,30,10,590,0.8483,0.0450,0.8100,0.0573
0,1,0,35,10,690,0.8467,0.0504,0.8100,0.0544
0,1,0,40,10,790,0.8550,0.0350,0.8083,0.0523
0,1,0,45,10,890,0.8483,0.0524,0.8167,0.0577
0,1,0,50,10,990,0.8500,0.0489,0.8183,0.0337
0,1,0,55,10,1090,0.8433,0.0467,0.8267,0.0533
0,1,0,60,10,1190,0.8467,0.0542,0.8167,0.0471
0,1,0,65,10,1290,0.8483,0.0444,0.8283,0.0675
0,1,0,70,10,1390,0.8517,0.0411,0.8267,0.0659
0,1,0,10,12,228,0.8550,0.0495,0.7967,0.0562
0,1,0,20,12,468,0.8417,0.0523,0.8083,0.0554
0,1,0,25,12,588,0.8650,0.0456,0.8067,0.0461
0,1,0,30,12,708,0.8317,0.0431,0.8017,0.0721
0,1,0,35,12,828,0.8533,0.0567,0.8233,0.0708
0,1,0,40,12,948,0.8500,0.0447,0.8083,0.0574
0,1,0,45,12,1068,0.8417,0.0642,0.8150,0.0643
0,1,0,50,12,1188,0.8500,0.0453,0.8300,0.0420
0,1,0,55,12,1308,0.8383,0.0478,0.8300,0.0640
0,1,0,60,12,1428,0.8583,0.0549,0.8367,0.0400
0,1,0,65,12,1548,0.8417,0.0335,0.8233,0.0367
0,1,0,70,12,1668,0.8500,0.0422,0.8267,0.0351
0,1,0,10,14,266,0.8400,0.0569,0.7933,0.0281
0,1,0,20,14,546,0.8550,0.0380,0.8100,0.0461
0,1,0,25,14,686,0.8583,0.0417,0.8100,0.0423
0,1,0,30,14,826,0.8417,0.0396,0.8033,0.0393
0,1,0,35,14,966,0.8567,0.0423,0.8133,0.0364
0,1,0,40,14,1106,0.8633,0.0433,0.8117,0.0317
0,1,0,45,14,1246,0.8550,0.0325,0.8317,0.0311
0,1,0,50,14,1386,0.8633,0.0400,0.8267,0.0389
0,1,0,55,14,1526,0.8450,0.0317,0.8233,0.0291
0,1,0,60,14,1666,0.8533,0.0379,0.8333,0.0447
0,1,0,65,14,1806,0.8467,0.0452,0.8317,0.0398
0,1,0,70,14,1946,0.8617,0.0454,0.8350,0.0376
0,1,0,10,16,304,0.8517,0.0383,0.7967,0.0400
0,1,0,20,16,624,0.8500,0.0365,0.8083,0.0310
0,1,0,25,16,784,0.8350,0.0369,0.8117,0.0402
0,1,0,30,16,944,0.8567,0.0367,0.8133,0.0287
0,1,0,35,16,1104,0.8450,0.0388,0.8083,0.0352
